"Year","State","State.Minimum.Wage","State.Minimum.Wage.2020.Dollars","Federal.Minimum.Wage","Federal.Minimum.Wage.2020.Dollars","Effective.Minimum.Wage","Effective.Minimum.Wage.2020.Dollars","CPI.Average","Department.Of.Labor.Uncleaned.Data","Department.Of.Labor.Cleaned.Low.Value","Department.Of.Labor.Cleaned.Low.Value.2020.Dollars","Department.Of.Labor.Cleaned.High.Value","Department.Of.Labor.Cleaned.High.Value.2020.Dollars","Footnote","Murder","Assault","UrbanPop","Rape"
1973,"Louisiana",0,0,1.6,9.32,1.6,9.32,44.4,"...",0,0,0,0,NA,15.4,249,66,22.2
1973,"Maine",1.4,8.16,1.6,9.32,1.6,9.32,44.4,"1.40 - 1.80",1.4,8.16,1.8,10.49,NA,2.1,83,51,7.8
1973,"Maryland",1.6,9.32,1.6,9.32,1.6,9.32,44.4,"1.6",1.6,9.32,1.6,9.32,NA,11.3,300,67,27.8
1973,"Massachusetts",1.75,10.19,1.6,9.32,1.75,10.19,44.4,"1.75",1.75,10.19,1.75,10.19,NA,4.4,149,85,16.3
1973,"Michigan",1.6,9.32,1.6,9.32,1.6,9.32,44.4,"1.6",1.6,9.32,1.6,9.32,NA,12.1,255,74,35.1
1973,"Minnesota",0.75,4.37,1.6,9.32,1.6,9.32,44.4,".75 - 1.60",0.75,4.37,1.6,9.32,NA,2.7,72,66,14.9
1973,"Mississippi",0,0,1.6,9.32,1.6,9.32,44.4,"...",0,0,0,0,NA,16.1,259,44,17.1
1973,"Missouri",0,0,1.6,9.32,1.6,9.32,44.4,"...",0,0,0,0,NA,9,178,70,28.2
1973,"Montana",1.6,9.32,1.6,9.32,1.6,9.32,44.4,"1.6",1.6,9.32,1.6,9.32,NA,6,109,53,16.4
1973,"Nebraska",1,5.83,1.6,9.32,1.6,9.32,44.4,"1",1,5.83,1,5.83,NA,4.3,102,62,16.5
1973,"Nevada",1.6,9.32,1.6,9.32,1.6,9.32,44.4,"1.6",1.6,9.32,1.6,9.32,NA,12.2,252,81,46
1973,"New Hampshire",1.6,9.32,1.6,9.32,1.6,9.32,44.4,"1.6",1.6,9.32,1.6,9.32,NA,2.1,57,56,9.5
1973,"New Jersey",1.5,8.74,1.6,9.32,1.6,9.32,44.4,"1.5",1.5,8.74,1.5,8.74,NA,7.4,159,89,18.8
1973,"New Mexico",1.3,7.57,1.6,9.32,1.6,9.32,44.4,"1.30 - 1.60",1.3,7.57,1.6,9.32,NA,11.4,285,70,32.1
1973,"New York",1.85,10.78,1.6,9.32,1.85,10.78,44.4,"1.85",1.85,10.78,1.85,10.78,NA,11.1,254,86,26.1
1973,"North Carolina",1.45,8.45,1.6,9.32,1.6,9.32,44.4,"1.45",1.45,8.45,1.45,8.45,NA,13,337,45,16.1
1973,"North Dakota",1,5.83,1.6,9.32,1.6,9.32,44.4,"1.00 - 1.45",1,5.83,1.45,8.45,NA,0.8,45,44,7.3
1973,"Ohio",0.75,4.37,1.6,9.32,1.6,9.32,44.4,".75 - 1.25(b)",0.75,4.37,1.25,7.28,"(b)",7.3,120,75,21.4
1973,"Oklahoma",1.4,8.16,1.6,9.32,1.6,9.32,44.4,"1.4",1.4,8.16,1.4,8.16,NA,6.6,151,68,20
1973,"Oregon",1.25,7.28,1.6,9.32,1.6,9.32,44.4,"1.25`",1.25,7.28,1.25,7.28,NA,4.9,159,67,29.3
1973,"Pennsylvania",1.6,9.32,1.6,9.32,1.6,9.32,44.4,"1.6",1.6,9.32,1.6,9.32,NA,6.3,106,72,14.9
1973,"Puerto Rico",0.65,3.79,1.6,9.32,1.6,9.32,44.4,".65 - 1.60",0.65,3.79,1.6,9.32,NA,NA,NA,NA,NA
1973,"Rhode Island",1.6,9.32,1.6,9.32,1.6,9.32,44.4,"1.6",1.6,9.32,1.6,9.32,NA,3.4,174,87,8.3
1973,"South Carolina",0,0,1.6,9.32,1.6,9.32,44.4,"...",0,0,0,0,NA,14.4,279,48,22.5
1973,"South Dakota",1,5.83,1.6,9.32,1.6,9.32,44.4,"1",1,5.83,1,5.83,NA,3.8,86,45,12.8
1973,"Tennessee",0,0,1.6,9.32,1.6,9.32,44.4,"...",0,0,0,0,NA,13.2,188,59,26.9
1973,"Texas",1.4,8.16,1.6,9.32,1.6,9.32,44.4,"1.4",1.4,8.16,1.4,8.16,NA,12.7,201,80,25.5
1973,"U.S. Virgin Islands",0,0,1.6,9.32,1.6,9.32,44.4,"...",0,NA,0,NA,NA,NA,NA,NA,NA
1973,"Utah",1.2,6.99,1.6,9.32,1.6,9.32,44.4,"1.20 - 1.35(b)",1.2,6.99,1.35,7.86,"(b)",3.2,120,80,22.9
1973,"Vermont",1.6,9.32,1.6,9.32,1.6,9.32,44.4,"1.6",1.6,9.32,1.6,9.32,NA,2.2,48,32,11.2
1973,"Virginia",0,0,1.6,9.32,1.6,9.32,44.4,"...",0,0,0,0,NA,8.5,156,63,20.7
1973,"Washington",1.6,9.32,1.6,9.32,1.6,9.32,44.4,"1.6",1.6,9.32,1.6,9.32,NA,4,145,73,26.2
1973,"West Virginia",1.2,6.99,1.6,9.32,1.6,9.32,44.4,"1.2",1.2,6.99,1.2,6.99,NA,5.7,81,39,9.3
1973,"Wisconsin",1.45,8.45,1.6,9.32,1.6,9.32,44.4,"1.45 (b)",1.45,8.45,1.45,8.45,"(b)",2.6,53,66,10.8
1973,"Wyoming",1.5,8.74,1.6,9.32,1.6,9.32,44.4,"1.5",1.5,8.74,1.5,8.74,NA,6.8,161,60,15.6
